canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,source_urls,confidence,notes
株式会社エヌ・ティ・ティ・データ経営研究所,,株式会社エヌ・ティ・ティ・データ経営研究所,日企,其他,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
株式会社三菱総合研究所,,株式会社三菱総合研究所,日企,其他,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
株式会社日本総合研究所,,株式会社日本総合研究所,日企,其他,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
株式会社日立コンサルティング,,株式会社日立コンサルティング,日企,IT咨询,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
株式会社野村総合研究所,,株式会社野村総合研究所,日企,其他,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/|https://www.movin.co.jp/gyoukai/firmlist/bigfirm.html,medium,seed抽出（要官网核验）
野村総合研究所(NRI),,野村総合研究所（NRI）,日企,其他,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://freeconsul.co.jp/cs/consultingfirm/,medium,seed抽出（要官网核验）
電通コンサルティング,,電通コンサルティング,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/|https://www.onecareer.jp/companies/business_categories/1?page=8,medium,seed抽出（要官网核验）
(旧)みずほ総合研究所,,（旧）みずほ総合研究所,日企,其他,,,,unknown,https://www.onecareer.jp/companies/business_categories/1?page=9,low,seed抽出（要官网核验）
3000を超える実績・事例 ※1 と豊富なノウハウによるコンサルティングが強み,,3000を超える実績・事例 ※1 と豊富なノウハウによるコンサルティングが強み,日企,综合,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/,low,seed抽出（要官网核验）
AIコンサルタント,,AIコンサルタント,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
BPRコンサルタント,,BPRコンサルタント,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
C3(シーキューブ)飲食店経営・飲食コンサル・不動産賃貸売買事業,,C3（シーキューブ）飲食店経営・飲食コンサル・不動産賃貸売買事業,日企,综合,,,,unknown,https://www.onecareer.jp/companies/business_categories/1?page=14,low,seed抽出（要官网核验）
DXコンサルタント,,DXコンサルタント,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
ERPコンサルタント,,ERPコンサルタント,日企,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
EY ストラテジー・アンド・コンサルティング,,EY ストラテジー・アンド・コンサルティング,外资,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
EY ストラテジー・アンド・コンサルティング(EY Japan),,4.EY ストラテジー・アンド・コンサルティング（EY Japan）,外资,综合,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
FAS,,FAS,日企,FA,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
FAS (DTFA・KPMG FAS・EYなど),,FAS （DTFA・KPMG FAS・EYなど）,外资,FA,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
FPTコンサルティングジャパン,,FPTコンサルティングジャパン,日企,综合,,,,unknown,https://www.onecareer.jp/companies/business_categories/1?page=13,low,seed抽出（要官网核验）
G-FAS株式会社(旧GCA FAS株式会社),,G-FAS株式会社（旧GCA FAS株式会社）,日企,FA,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/,low,seed抽出（要官网核验）
ITコンサルタント,,ITコンサルタント,日企,IT咨询,,,,unknown,https://consulfree.com/blog/consultingfirm/,low,seed抽出（要官网核验）
M&Aコンサル/アドバイザリー,,M&Aコンサル/アドバイザリー,日企,FA,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/,low,seed抽出（要官网核验）
M&Aフィナンシャルアドバイザリーや事業再生など、専門性の高いサービスを提供,,M&Aフィナンシャルアドバイザリーや事業再生など、専門性の高いサービスを提供,日企,FA,,,,unknown,https://freeconsul.co.jp/cs/consultingfirm/,low,seed抽出（要官网核验）
