canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,openwork_score,openwork_url,source_urls,confidence,notes
三菱総合研究所,Mitsubishi Research Institute,MRI,日企,其他,政策研究、事業戦略、ビジネスコンサルティング,https://www.mri.co.jp/,https://www.mri.co.jp/company/recruit/,500-1999,,,"日企,综合,high",high,
博報堂コンサルティング,,博報堂コンサルティング,日企,综合,,,,unknown,4.34,https://www.openwork.jp/company.php?m_id=a0C1000000e6zMt,"日企,综合,medium",medium,seed抽出（要官网核验）
山田コンサルティンググループ,YAMADA Consulting Group,YCG|山田コンサル,日企,综合,事業承継、M&A、FAS、経営・海外支援,https://www.yamada-cg.co.jp/,https://www.yamada-cg.co.jp/recruit/,500-1999,,,"日企,FA,high",high,
日本総合研究所,The Japan Research Institute,JRI|日本総研,日企,其他,コンサルティング、シンクタンク、SI,https://www.jri.co.jp/,https://www.jri-career.com/,2000+,,,"日企,综合,high",high,
日本能率協会コンサルティング,JMA Consultants,JMAC|日本能率協会コンサルティング,日企,综合,製造・サービスの業務改善、組織改革、DX,https://www.jmac.co.jp/,https://www.jmac.co.jp/recruit/,500-1999,,,"日企,其他,high",high,実行支援型の老舗
日立コンサルティング,,日立コンサルティング,日企,IT咨询,,,,unknown,4.01,https://www.openwork.jp/company.php?m_id=a0910000000GV9o,"日企,IT咨询,medium",medium,seed抽出（要官网核验）
株式会社KPMG FAS,,株式会社KPMG FAS,外资,FA,,,,unknown,4.33,https://www.openwork.jp/company.php?m_id=a0910000000GYU9,"外资,FA,medium",medium,seed抽出（要官网核验）
株式会社エヌ・ティ・ティ・データ経営研究所,,株式会社エヌ・ティ・ティ・データ経営研究所,日企,其他,,,,unknown,3.79,https://www.openwork.jp/company.php?m_id=a0910000000G8db,"日企,其他,medium",medium,seed抽出（要官网核验）
株式会社三菱総合研究所,,株式会社三菱総合研究所,日企,其他,,,,unknown,4.15,https://www.openwork.jp/company.php?m_id=a0910000000G2RT,"日企,其他,medium",medium,seed抽出（要官网核验）
株式会社日本総合研究所,,株式会社日本総合研究所,日企,其他,,,,unknown,4.0,https://www.openwork.jp/company.php?m_id=a0910000000G21f,"日企,其他,medium",medium,seed抽出（要官网核验）
株式会社日立コンサルティング,,株式会社日立コンサルティング,日企,IT咨询,,,,unknown,,https://www.openwork.jp/company.php?m_id=a0910000000GV9o,"日企,IT咨询,medium",medium,seed抽出（要官网核验）
株式会社野村総合研究所,,株式会社野村総合研究所,日企,其他,,,,unknown,,,"日企,其他,medium",medium,seed抽出（要官网核验）
経営共創基盤,Industrial Growth Platform,Inc.,日企,综合,战略,経営改革、事業再生、M&A、DX,https://www.igpi.co.jp/en/,unknown,4.41,https://www.openwork.jp/company.php?m_id=a0910000000GAI2,"IGPI|Industrial Growth Platform,日企,https://www.igpi.co.jp/en/company/|https://www.movin.co.jp/column/column179.html",https://www.igpi.co.jp/en/company/|https://www.movin.co.jp/column/column179.html,high
船井総合研究所,,船井総合研究所,日企,其他,,,,unknown,3.54,https://www.openwork.jp/company.php?m_id=a0910000000Fs0D,"日企,其他,medium",medium,seed抽出（要官网核验）
野村総合研究所,Nomura Research Institute,NRI,日企,其他,コンサルティング、リサーチ、ITソリューション,https://www.nri.com/jp/index.html,https://working.nri.co.jp/recruit/,2000+,,,"日企,综合,high",high,
野村総合研究所(NRI),,野村総合研究所（NRI）,日企,其他,,,,unknown,,,"日企,其他,medium",medium,seed抽出（要官网核验）
電通コンサルティング,,電通コンサルティング,日企,综合,,,,unknown,,,"日企,综合,medium",medium,seed抽出（要官网核验）
