canonical_name_ja,canonical_name_en,aliases,origin_type,category,main_services,japan_website,recruit_url,employee_band,source_urls,confidence,notes
IBMコンサルティング,IBM Consulting,IBM Japan Consulting|IBM,外资,综合,戦略、ハイブリッドクラウド、AI、業務変革,https://www.ibm.com/jp-ja/consulting,https://www.ibm.com/jp-ja/employment/,2000+,https://www.ibm.com/jp-ja/consulting|https://www.movin.co.jp/gyoukai/firmlist/general.html,high,
野村総合研究所,Nomura Research Institute,NRI,日企,综合,コンサルティング、リサーチ、ITソリューション,https://www.nri.com/jp/index.html,https://working.nri.co.jp/recruit/,2000+,https://www.nri.com/jp/index.html|https://www.nri.com/jp/company/map/index.html,high,
日本総合研究所,The Japan Research Institute,JRI|日本総研,日企,综合,コンサルティング、シンクタンク、SI,https://www.jri.co.jp/,https://www.jri-career.com/,2000+,https://www.jri.co.jp/|https://www.jri.co.jp/company/business/consulting/,high,
三菱総合研究所,Mitsubishi Research Institute,MRI,日企,综合,政策研究、事業戦略、ビジネスコンサルティング,https://www.mri.co.jp/,https://www.mri.co.jp/company/recruit/,500-1999,https://www.mri.co.jp/|https://www.mri.co.jp/company/info/structure/bcu/index.html,high,
三菱UFJリサーチ&コンサルティング,Mitsubishi UFJ Research and Consulting,MURC,日企,综合,政策研究、経営コンサル、DX、人材・地域支援,https://www.murc.jp/,https://www.murc.jp/recruit/,500-1999,https://www.murc.jp/|https://www.murc.jp/recruit/,high,
フォーティエンスコンサルティング,Fortience Consulting,QUNIE|QUNIE CORPORATION,日企,IT咨询,経営戦略・企業変革・ITコンサルティング,https://www.fortience.com/,https://www.fortience.com/recruit/,500-1999,https://www.fortience.com/company/profile/|https://www.fortience.com/en/company/newsroom/20250707/,high,2025-10-01にQUNIEから社名変更
フューチャーアーキテクト,Future Architect,Future|Future Architect, Inc.,日企,IT咨询,IT&戦略コンサルティング、システム設計・実装,https://www.future.co.jp/architect/,https://www.future.co.jp/recruit/,500-1999,https://www.future.co.jp/architect/|https://www.future.co.jp/en/architect/corporate_profile/our_vision/,high,
Ridgelinez,Ridgelinez,リッジラインズ,日企,IT咨询,DXコンサルティング、戦略・デザイン・テクノロジー,https://www.ridgelinez.com/,https://www.ridgelinez.com/recruit/,100-499,https://www.ridgelinez.com/|https://www.ridgelinez.com/about/corporate/,high,
Dirbato,Dirbato,ディルバート,日企,IT咨询,IT/DX戦略、現場実装、AI活用,https://dirbato.co.jp/,https://www.dirbato.co.jp/recruit/,500-1999,https://dirbato.co.jp/|https://www.dirbato.co.jp/recruit/,high,
INTLOOP,INTLOOP,イントループ,日企,IT咨询,戦略、業務改革、IT戦略、DX、PMO,https://www.intloop.com/,https://www.intloop.com/recruit/,500-1999,https://www.intloop.com/|https://www.intloop.com/company/about/,high,
シグマクシス,SIGMAXYZ,SIGMAXYZ Inc.|シグマクシス・ホールディングス,日企,IT咨询,トランスフォーメーション、デジタル、事業共創,https://www.sigmaxyz.com/sx/ja/index.html,https://www.sigmaxyz.com/ja/recruit/,500-1999,https://www.sigmaxyz.com/sx/ja/index.html|https://www.sigmaxyz.com/sx/en.html,high,グループ表記ではなくコンサル会社名を採用
アバナード,Avanade,Avanade Japan,外资,IT咨询,Microsoft基盤のクラウド・デジタル変革,https://www.avanade.com/ja-jp,https://www.avanade.com/ja-jp/careers,2000+,https://www.avanade.com/ja-jp|https://www.movin.co.jp/gyoukai/firmlist/business_it.html,medium,
ULシステムズ,UL Systems,ULS|ウルシステムズ,日企,IT咨询,IT戦略、システム刷新、アジャイル、アーキテクチャ,https://www.ulsystems.co.jp/,https://www.ulsystems.co.jp/recruit/,500-1999,https://www.ulsystems.co.jp/|https://www.movin.co.jp/it/company/company03/,medium,
マネジメントソリューションズ,Management Solutions,MSOL,日企,IT咨询,PMO、EPMO、プロジェクト変革支援,https://www.msols.com/,https://recruit.msols.com/,500-1999,https://www.msols.com/|https://service.msols.com/service/pmo/,high,PMO特化のため境界領域
NTTデータ経営研究所,NTT DATA Institute of Management Consulting,NDMI,日企,IT咨询,戦略とIT、公共・社会課題、先端テーマ,https://www.nttdata-strategy.com/,https://www.nttdata-strategy.com/recruit/,500-1999,https://www.nttdata-strategy.com/|https://www.nttdata-strategy.com/about-us/profile/,high,
みずほリサーチ&テクノロジーズ,Mizuho Research & Technologies,MHRT|みずほRT,日企,IT咨询,経営・社会政策・DX支援コンサルティング,https://www.mizuho-rt.co.jp/index.html,https://www.mizuho-rt.co.jp/recruit/,2000+,https://www.mizuho-rt.co.jp/index.html|https://www.mizuho-rt.co.jp/business/consulting/index.html,high,シンクタンク系/IT寄り
KPMG FAS,KPMG FAS,KPMG FAS Co., Ltd.,外资,FA,"M&A、バリュエーション、事業再生、フォレンジック",https://kpmg.com/jp/ja/home/about/kpmg-fas.html,https://kpmg.com/jp/ja/home/careers/experienced-hire/kfas.html,500-1999,https://kpmg.com/jp/ja/home/about/kpmg-fas.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html,high,
PwCアドバイザリー,PwC Advisory,PwCアドバイザリー合同会社,外资,FA,ディールアドバイザリー、M&A、事業再生,https://www.pwc.com/jp/ja/about-us/member/advisory.html,https://www.pwc.com/jp/ja/careers/experienced/our-business/advisory.html,500-1999,https://www.pwc.com/jp/ja/about-us/member/advisory.html|https://www.movin.co.jp/gyoukai/firmlist/financial.html,high,
フロンティア・マネジメント,Frontier Management,FMI,日企,FA,経営コンサル、M&Aアドバイザリー、再生,https://www.frontier-mgmt.com/,https://www.frontier-mgmt.com/recruit/,500-1999,https://www.frontier-mgmt.com/|https://www.frontier-mgmt.com/company/outline/,high,
山田コンサルティンググループ,YAMADA Consulting Group,YCG|山田コンサル,日企,FA,事業承継、M&A、FAS、経営・海外支援,https://www.yamada-cg.co.jp/,https://www.yamada-cg.co.jp/recruit/,500-1999,https://www.yamada-cg.co.jp/|https://www.yamada-cg.co.jp/en/,high,
AGSコンサルティング,AGS Consulting,AGS,日企,FA,"会計・税務、IPO、M&A、事業承継",https://www.agsc.co.jp/,https://www.agsc.co.jp/recruit/,500-1999,https://www.agsc.co.jp/about/info/|https://www.agsc.co.jp/en/,high,
OAGコンサルティング,OAG Consulting,OAGコンサルティンググループ,日企,FA,"財務・税務、事業承継、M&A、経営支援",https://www.oag-c.com/,https://www.oag-group.co.jp/recruit/,500-1999,https://www.oag-c.com/|https://www.oag-group.co.jp/,high,
G-FAS,G-FAS Corporation,GCA FAS,日企,FA,"DD、バリュエーション、M&A FA、再生",https://gcafas.com/jp/,https://gcafas.com/jp/recruit/,100-499,https://gcafas.com/jp/%E4%BC%9A%E7%A4%BE%E7%B4%B9%E4%BB%8B/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%EF%BD%9C%E4%BC%9A%E7%A4%BE%E3%83%87%E3%83%BC%E3%82%BF/|https://gcafas.com/en/company-information/company-profile/,high,旧称GCA FAS
フーリハン・ローキー,Houlihan Lokey,フーリハン・ローキー株式会社,外资,FA,"M&A、再編、バリュエーション、FA",https://japan.hl.com/,https://japan.hl.com/careers,100-499,https://japan.hl.com/|https://japan.hl.com/about-us/corporate-profile,high,
FTIコンサルティング,FTI Consulting,FTI Consulting Japan,外资,FA,"企業再生、フォレンジック、紛争、FA",https://www.fticonsulting.com/en/japan,https://www.fticonsulting.com/careers,2000+,https://www.fticonsulting.com/en/japan|https://www.fticonsulting.com/en,high,
Kroll,Kroll,Kroll Japan,外资,FA,"バリュエーション、リスク、リストラ、企業調査",https://www.kroll.com/ja-jp,https://www.kroll.com/en/careers,2000+,https://www.kroll.com/ja-jp|https://www.kroll.com/en/global-locations/asia-pacific/tokyo,high,
マーサー ジャパン,Mercer Japan,Mercer,外资,人力组织,"人事戦略、報酬、福利厚生、投資・年金",https://www.mercer.com/ja-jp/,https://www.mercer.com/careers/,100-499,https://www.mercer.com/ja-jp/|https://www.mercer.com/ja-jp/about/company/about/mercer-japan/,high,
コーン・フェリー,Korn Ferry,Korn Ferry Japan,外资,人力组织,"組織設計、採用、報酬、リーダーシップ開発",https://www.kornferry.com/jp,https://www.kornferry.com/careers,100-499,https://www.kornferry.com/jp|https://www.kornferry.com/jp/about-us,high,
WTW,WTW,Willis Towers Watson|WTW Japan,外资,人力组织,"人材、報酬、福利厚生、リスク・資産",https://www.wtwco.com/ja-jp,https://careers.wtwco.com/,500-1999,https://www.wtwco.com/ja-jp|https://www.wtwco.com/ja-jp/about-us/willis-towers-watson-organization-japan,high,
リクルートマネジメントソリューションズ,Recruit Management Solutions,RMS|リクルートMS,日企,人力组织,"採用、人材開発、制度構築、組織開発",https://www.recruit-ms.co.jp/,https://www.recruit-ms.co.jp/recruit/,500-1999,https://www.recruit-ms.co.jp/|https://www.recruit-ms.co.jp/company/outline/,high,
セルム,CELM,CELM Inc.,日企,人力组织,"リーダー開発、組織開発、カルチャー変革",https://www.celm.co.jp/,https://www.celm.co.jp/recruit/,100-499,https://www.celm.co.jp/|https://www.celm.co.jp/en/company/overview/,high,
リンクアンドモチベーション,Link and Motivation,LMI,日企,人力组织,"組織戦略、採用戦略、エンゲージメント変革",https://www.lmi.ne.jp/,https://www.lmi.ne.jp/recruit/,500-1999,https://www.lmi.ne.jp/|https://www.lmi.ne.jp/english/companydata/overview.html,high,
タナベコンサルティング,Tanabe Consulting,Tanabe Consulting Group|TCG,日企,人力组织,"経営戦略、HR、人材開発、デジタル、M&A",https://www.tanabeconsulting.co.jp/,https://tanaberecruit.com/,500-1999,https://www.tanabeconsulting.co.jp/|https://tanaberecruit.com/company/about/,high,HR特化ではないが人事組織を主要機能に含む
グロービス,GLOBIS,GLOBIS Corporation,日企,人力组织,"企業研修、組織開発、経営教育",https://globis.co.jp/,https://globis.co.jp/recruit/,500-1999,https://globis.co.jp/|https://www.movin.co.jp/gyoukai/firmlist/hrm.html,medium,教育色が強いため境界領域
日本能率協会コンサルティング,JMA Consultants,JMAC|日本能率協会コンサルティング,日企,其他,"製造・サービスの業務改善、組織改革、DX",https://www.jmac.co.jp/,https://www.jmac.co.jp/recruit/,500-1999,https://www.jmac.co.jp/|https://www.jmac.co.jp/aboutjmac/about/,high,実行支援型の老舗
